#	energy	(eV)	muonrho
7.919E+03	1.50000E+01	3.44000E-01
7.959E+03	1.45000E+01	1.28000E-01
7.999E+03	1.30000E+01	2.33000E-01
8.039E+03	1.34000E+01	1.58000E-01
8.079E+03	1.13000E+01	2.01000E-01
8.119E+03	1.18000E+01	1.01000E-01
8.159E+03	1.14000E+01	1.75000E-01
8.199E+03	1.20000E+01	1.06000E-01
8.279E+03	1.11000E+01	8.97000E-02
8.284E+03	1.10000E+01	1.47000E-01
8.289E+03	1.14000E+01	8.55000E-02
8.294E+03	1.10000E+01	1.43000E-01
8.299E+03	1.13000E+01	9.12000E-02
8.304E+03	1.20000E+01	6.25000E-02
8.308E+03	1.20000E+01	9.94000E-02
8.309E+03	1.22000E+01	8.53000E-02
8.310E+03	1.20000E+01	9.17000E-02
8.311E+03	1.23000E+01	9.27000E-02
8.312E+03	1.22000E+01	1.00000E-01
8.313E+03	1.26000E+01	9.35000E-02
8.314E+03	1.25000E+01	8.91000E-02
8.315E+03	1.26000E+01	8.51000E-02
8.316E+03	1.26000E+01	9.43000E-02
8.317E+03	1.27000E+01	8.84000E-02
8.318E+03	1.29000E+01	8.67000E-02
8.319E+03	1.32000E+01	9.19000E-02
8.320E+03	1.33000E+01	8.05000E-02
8.320E+03	1.32000E+01	9.64000E-02
8.321E+03	1.31000E+01	1.03000E-01
8.321E+03	1.30000E+01	1.00000E-01
8.322E+03	1.32000E+01	1.41000E-01
8.322E+03	1.35000E+01	9.28000E-02
8.323E+03	1.33000E+01	1.10000E-01
8.323E+03	1.33000E+01	9.93000E-02
8.324E+03	1.32000E+01	9.88000E-02
8.324E+03	1.31000E+01	9.02000E-02
8.325E+03	1.31000E+01	9.46000E-02
8.325E+03	1.28000E+01	9.12000E-02
8.326E+03	1.27000E+01	1.02000E-01
8.326E+03	1.30000E+01	8.68000E-02
8.327E+03	1.33000E+01	8.42000E-02
8.327E+03	1.30000E+01	8.63000E-02
8.328E+03	1.28000E+01	9.24000E-02
8.328E+03	1.27000E+01	9.07000E-02
8.329E+03	1.26000E+01	9.68000E-02
8.329E+03	1.29000E+01	8.53000E-02
8.330E+03	1.27000E+01	9.04000E-02
8.330E+03	1.28000E+01	1.24000E-01
8.330E+03	1.29000E+01	1.03000E-01
8.331E+03	1.30000E+01	9.39000E-02
8.332E+03	1.31000E+01	9.43000E-02
8.332E+03	1.30000E+01	8.71000E-02
8.332E+03	1.32000E+01	8.71000E-02
8.333E+03	1.33000E+01	8.48000E-02
8.333E+03	1.35000E+01	8.15000E-02
8.334E+03	1.37000E+01	9.83000E-02
8.334E+03	1.38000E+01	8.83000E-02
8.335E+03	1.38000E+01	1.02000E-01
8.335E+03	1.40000E+01	8.79000E-02
8.336E+03	1.41000E+01	8.55000E-02
8.336E+03	1.40868E+01	8.50000E-02
8.337E+03	1.42042E+01	1.01740E-01
8.337E+03	1.44006E+01	8.88700E-02
8.338E+03	1.48022E+01	9.26000E-02
8.338E+03	1.54063E+01	8.85400E-02
8.339E+03	1.58844E+01	9.24400E-02
8.339E+03	1.65746E+01	8.38800E-02
8.340E+03	1.71886E+01	8.50400E-02
8.340E+03	1.79072E+01	8.81600E-02
8.341E+03	1.88303E+01	9.63600E-02
8.341E+03	2.00802E+01	8.59400E-02
8.342E+03	2.09746E+01	8.79300E-02
8.342E+03	2.23591E+01	8.69400E-02
8.343E+03	2.41739E+01	9.78200E-02
8.343E+03	2.66625E+01	8.65300E-02
8.344E+03	2.86822E+01	8.80200E-02
8.344E+03	3.18424E+01	9.45300E-02
8.345E+03	3.46921E+01	8.34400E-02
8.345E+03	3.86115E+01	9.30000E-02
8.346E+03	4.23968E+01	7.97800E-02
8.346E+03	4.70804E+01	9.29000E-02
8.347E+03	5.13041E+01	9.31800E-02
8.347E+03	5.63805E+01	9.62300E-02
8.349E+03	7.04395E+01	9.18300E-02
8.351E+03	7.60340E+01	9.44700E-02
8.353E+03	7.50248E+01	9.16500E-02
8.355E+03	7.24205E+01	9.35000E-02
8.357E+03	6.80119E+01	8.48400E-02
8.359E+03	6.46053E+01	1.02460E-01
8.361E+03	6.13634E+01	9.21300E-02
8.363E+03	5.87797E+01	8.27800E-02
8.364E+03	5.59661E+01	9.13400E-02
8.366E+03	5.42395E+01	9.03600E-02
8.368E+03	5.21884E+01	8.36200E-02
8.370E+03	5.06032E+01	9.35100E-02
8.372E+03	4.86696E+01	8.72200E-02
8.374E+03	4.78563E+01	1.01040E-01
8.376E+03	4.72438E+01	9.76000E-02
8.379E+03	4.78057E+01	1.33420E-01
8.381E+03	4.91540E+01	8.61400E-02
8.383E+03	5.11068E+01	9.30600E-02
8.385E+03	5.29162E+01	9.31700E-02
8.387E+03	5.42970E+01	1.06000E-01
8.389E+03	5.60694E+01	9.16700E-02
8.391E+03	5.69979E+01	9.23900E-02
8.393E+03	5.80661E+01	7.69800E-02
8.394E+03	5.85039E+01	1.42400E-01
8.396E+03	5.90096E+01	1.53970E-01
8.398E+03	5.97412E+01	8.86900E-02
8.400E+03	5.97195E+01	1.03760E-01
8.402E+03	6.03301E+01	9.25900E-02
8.404E+03	5.96788E+01	1.11270E-01
8.406E+03	5.96471E+01	8.40500E-02
8.409E+03	5.84479E+01	1.61210E-01
8.411E+03	5.82696E+01	1.19900E-01
8.413E+03	5.72181E+01	1.24790E-01
8.415E+03	5.65993E+01	1.02120E-01
8.417E+03	5.61816E+01	1.06430E-01
8.419E+03	5.60481E+01	1.15160E-01
8.421E+03	5.59638E+01	8.62300E-02
8.423E+03	5.56392E+01	1.16650E-01
8.424E+03	5.52355E+01	9.00500E-02
8.426E+03	5.53025E+01	1.01100E-01
8.428E+03	5.51096E+01	8.54700E-02
8.430E+03	5.50282E+01	7.75200E-02
8.432E+03	5.46509E+01	2.06720E-01
8.434E+03	5.43352E+01	8.80000E-02
8.436E+03	5.42761E+01	8.49800E-02
8.439E+03	5.39127E+01	8.47200E-02
8.441E+03	5.37910E+01	8.95400E-02
8.443E+03	5.39991E+01	9.08400E-02
8.445E+03	5.42086E+01	7.98500E-02
8.447E+03	5.43395E+01	9.18400E-02
8.449E+03	5.43923E+01	7.98700E-02
8.451E+03	5.46064E+01	8.50800E-02
8.453E+03	5.48616E+01	1.05190E-01
8.454E+03	5.49462E+01	1.72430E-01
8.456E+03	5.45410E+01	8.79900E-02
8.458E+03	5.46889E+01	8.53700E-02
8.460E+03	5.47483E+01	9.44700E-02
8.462E+03	5.45447E+01	8.99000E-02
8.464E+03	5.48027E+01	8.53800E-02
8.466E+03	5.47076E+01	7.20500E-02
8.469E+03	5.47508E+01	9.16200E-02
8.479E+03	5.45002E+01	8.16500E-02
8.489E+03	5.44326E+01	8.18600E-02
8.499E+03	5.45378E+01	1.45320E-01
