#	energy	(eV)	muonrho	dmuonrho				
8004.870000	0.022551	0.000224	
8044.590000	0.022662	0.000239	
8084.780000	0.021609	0.000389	
8124.420000	0.021312	0.000087	
8164.810000	0.017058	0.000119	
8204.630000	0.018030	0.000104	
8244.860000	0.016151	0.000131	
8284.670000	0.017246	0.000186	
8313.840000	0.018049	0.000095	
8314.850000	0.018024	0.000206	
8315.800000	0.018961	0.000156	
8316.870000	0.018517	0.000209	
8317.700000	0.018775	0.000143	
8317.760000	0.018955	0.000102	
8318.650000	0.019818	0.000085	
8319.660000	0.020537	0.000109	
8320.610000	0.020886	0.000238	
8321.560000	0.020921	0.000086	
8322.620000	0.020594	0.000116	
8323.630000	0.022078	0.000187	
8324.110000	0.021992	0.000154	
8324.530000	0.022669	0.000136	
8325.000000	0.023670	0.000105	
8325.540000	0.025365	0.000092	
8326.010000	0.026589	0.000095	
8326.550000	0.029389	0.000086	
8327.020000	0.031504	0.000103	
8327.500000	0.033999	0.000114	
8328.030000	0.037453	0.000094	
8328.630000	0.041590	0.000154	
8329.100000	0.046654	0.000142	
8329.580000	0.053313	0.000330	
8329.640000	0.053335	0.000183	
8330.120000	0.058718	0.000067	
8330.530000	0.065779	0.000127	
8330.590000	0.065780	0.000118	
8331.070000	0.072255	0.000078	
8331.600000	0.080157	0.000086	
8332.140000	0.088155	0.000062	
8332.610000	0.098002	0.000276	
8333.150000	0.106348	0.000084	
8333.690000	0.115174	0.000103	
8334.280000	0.123113	0.000068	
8334.760000	0.129839	0.000122	
8335.240000	0.133966	0.000100	
8335.710000	0.137244	0.000070	
8336.190000	0.138310	0.000182	
8336.730000	0.139129	0.000072	
8337.200000	0.138825	0.000085	
8337.800000	0.139495	0.000214	
8338.280000	0.138120	0.000130	
8338.690000	0.136328	0.000132	
8338.750000	0.136359	0.000131	
8339.230000	0.135121	0.000068	
8339.290000	0.135096	0.000097	
8339.830000	0.133348	0.000458	
8340.300000	0.132937	0.000327	
8340.780000	0.129701	0.000139	
8340.840000	0.130161	0.000143	
8341.320000	0.128106	0.000099	
8341.790000	0.125824	0.000179	
8342.270000	0.123192	0.000116	
8342.690000	0.121784	0.000130	
8342.750000	0.121882	0.000085	
8343.230000	0.119560	0.000100	
8343.700000	0.116635	0.000085	
8344.240000	0.115788	0.000071	
8344.660000	0.113206	0.000090	
8345.140000	0.111418	0.000116	
8345.680000	0.109406	0.000352	
8346.210000	0.109302	0.000172	
8346.630000	0.106676	0.000239	
8347.110000	0.105107	0.000085	
8347.590000	0.104562	0.000225	
8348.070000	0.103426	0.000121	
8348.540000	0.101215	0.000095	
8348.960000	0.100044	0.000282	
8349.440000	0.100016	0.000092	
8350.040000	0.098093	0.000213	
8350.460000	0.096744	0.000131	
8350.940000	0.094888	0.000105	
8351.410000	0.093506	0.000125	
8352.010000	0.092288	0.000155	
8352.490000	0.092899	0.000101	
8352.970000	0.091224	0.000078	
8353.450000	0.089774	0.000128	
8353.870000	0.088646	0.000223	
8354.350000	0.088096	0.000137	
8354.880000	0.086920	0.000160	
8355.360000	0.086636	0.000189	
8355.840000	0.084746	0.000218	
8356.380000	0.085422	0.000286	
8356.860000	0.083722	0.000160	
8357.400000	0.082443	0.000129	
8357.940000	0.081864	0.000171	
8358.480000	0.081734	0.000141	
8358.960000	0.081218	0.000116	
8359.500000	0.080203	0.000119	
8359.980000	0.079741	0.000163	
8360.460000	0.079548	0.000347	
8360.940000	0.080896	0.000076	
8361.540000	0.079823	0.000316	
8362.080000	0.080220	0.000304	
8362.560000	0.079535	0.000262	
8363.100000	0.079962	0.000105	
8363.760000	0.081218	0.000441	
8365.740000	0.083788	0.000181	
8367.780000	0.088041	0.000086	
8369.880000	0.092305	0.000074	
8371.800000	0.097086	0.000080	
8373.790000	0.098871	0.000099	
8375.770000	0.100450	0.000157	
8377.700000	0.101316	0.000292	
8379.630000	0.103227	0.000074	
8381.550000	0.103756	0.000252	
8383.540000	0.105201	0.000241	
8385.530000	0.105002	0.000094	
8387.520000	0.103740	0.000213	
8389.580000	0.104629	0.000096	
8391.570000	0.102123	0.000085	
8393.750000	0.101058	0.000170	
8395.800000	0.099430	0.000212	
8397.740000	0.097403	0.000103	
8397.800000	0.097417	0.000166	
8399.790000	0.097445	0.000094	
8401.790000	0.096239	0.000068	
8403.730000	0.094536	0.000244	
8405.730000	0.094465	0.000069	
8407.670000	0.094878	0.000066	
8409.490000	0.094966	0.000115	
8411.490000	0.094929	0.000076	
8413.500000	0.093929	0.000116	
8415.380000	0.092779	0.000071	
8417.390000	0.092292	0.000073	
8419.520000	0.090835	0.000088	
