# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  7500.0100        1.2641452       0.79860852E-01   0.51177812E-01
  7500.0100        1.2661444       0.83409807E-01   0.35824469
  8000.0100        1.0441088       0.14794767E-01   0.51177812
  8100.0100        1.0009414       0.26215238E-02   0.62679763
  8180.0100       0.97563611       0.21114380E-02   0.72557072
  8219.9900       0.95842915      -0.27040942E-02   0.81080903
  8259.9900       0.94781410      -0.92151759E-03   0.88494710
  8300.0100       0.93612579      -0.20600419E-03   0.95744920
  8300.0100       0.93803182       0.17201780E-02    1.0235562
  8306.5100       0.93751014       0.31929610E-02    1.0868509
  8306.9900       0.93742849       0.32600845E-02    1.1432257
  8307.4900       0.93765337       0.36399368E-02    1.1991345
  8307.9900       0.93749538       0.36369101E-02    1.2535953
  8308.4900       0.93769582       0.39923264E-02    1.3057866
  8309.0000       0.93777473       0.42293022E-02    1.3530701
  8309.5000       0.93810324       0.47127825E-02    1.4475271
  8310.0000       0.93842120       0.51857188E-02    1.5361871
  8310.5100       0.93864583       0.55684135E-02    1.6981474
  8311.0100       0.93878715       0.58647059E-02    1.6981474
  8311.5100       0.93922438       0.64569082E-02    1.8459518
  8311.9900       0.93912235       0.65036437E-02    1.9814473
  8312.4900       0.93959909       0.71353520E-02    2.1094945
  8312.9900       0.93989618       0.75874213E-02    2.2302020
  8313.5000       0.94012270       0.79720020E-02    2.3452620
  8314.0000       0.94063235       0.86366284E-02    2.4544017
  8314.5100       0.94110784       0.92701911E-02    2.5594023
  8315.0100       0.94227787       0.10595184E-01    2.6587846
  8315.5100       0.94381662       0.12288913E-01    2.7560095
  8315.9900       0.94536563       0.13986692E-01    2.8499196
  8316.4900       0.94866288       0.17438912E-01    2.9394960
  8317.0000       0.95220932       0.21143420E-01    3.0277202
  8317.5000       0.95645914       0.25548215E-01    3.1134454
  8318.0000       0.95861271       0.27856752E-01    3.1956436
  8318.5100       0.95908960       0.28491709E-01    3.2773785
  8319.0100       0.95931854       0.28875621E-01    3.3555633
  8319.4900       0.95796005       0.27665901E-01    3.4334935
  8319.9900       0.95665083       0.26511648E-01    3.5085741
  8320.5000       0.95595830       0.25977193E-01    3.5820813
  8321.0000       0.95643700       0.26610865E-01    3.6551851
  8321.5100       0.95839070       0.28722629E-01    3.7258010
  8322.0100       0.96135012       0.31837020E-01    3.7951031
  8322.4900       0.96610979       0.36745459E-01    3.8641790
  8322.9900       0.97217812       0.42968768E-01    3.9310424
  8323.5000       0.98286605       0.53814761E-01    3.9971149
  8324.0000       0.99646683       0.67570512E-01    4.0617905
  8324.5100        1.0175047       0.88766479E-01    4.1257697
  8325.0100        1.0420247       0.11344146        4.1887719
  8325.4900        1.0747336       0.14629909        4.2505322
  8325.9900        1.1108524       0.18257286        4.3126228
  8326.5000        1.1570509       0.22892947        4.3729337
  8327.0000        1.2042761       0.27630960        4.4318331
  8327.5100        1.2620446       0.33423619        4.4905432
  8328.0100        1.3171935       0.38954008        4.5484956
  8328.4900        1.3807474       0.45324276        4.6057188
  8328.4900        1.3829138       0.45541538        4.6625206
  8330.5100        1.6657933       0.80259882        4.7186387
  8330.9900        1.7259818       0.95841910        4.7738229
  8331.4900        1.7940552       0.95357691        4.8278339
  8332.0000        1.8525271       0.94869361        4.8820521
  8332.5100        1.9175692       0.94386629        4.9356748
  8333.0100        1.9649379       0.93918768        4.9879336
  8333.4900        2.0067111       0.93474630        5.0404300
  8334.0000        2.0335329       0.93008079        5.0923852
  8334.5000        2.0514599       0.92555995        5.1433065
  8335.0100        2.0559626       0.92100265        5.1942328
  8335.5100        2.0506303       0.91658730        5.2441652
  8335.9900        2.0394898       0.91239729        5.2943688
  8336.5000        2.0187603       0.90799741        5.3431205
  8337.0000        1.9976856       0.90373554        5.3916742
  8337.5100        1.9704896       0.89944089        5.4405168
  8337.9900        1.9467136       0.89544700        5.4882090
  8338.4900        1.9174938       0.89133604        5.5354902
  8339.0000        1.8916399       0.88719444        5.5830748
  8339.5100        1.8600139       0.88310463        5.6297920
  8339.9900        1.8349639       0.87930242        5.6758940
  8341.0000        1.7896768       0.87144974        5.7218534
  8342.0100        1.7532917       0.86379546        5.7672195
  8344.0100        1.6877027       0.84921456        5.8124568
  8344.0100        1.6893025       0.84907257        5.8573448
  8346.0100        1.6570599       0.83538385        5.9018914
  8347.9900        1.6341931       0.82241229        5.9461042
  8349.9900        1.6142662       0.81001955        5.9899907
  8351.9900        1.5831092       0.79832182        6.0335580
  8354.0000        1.5571266       0.78724722        6.0768130
  8356.0000        1.5300268       0.77688742        6.1199762
  8358.0100        1.5172348       0.76712016        6.1626247
  8359.9900        1.5149321       0.75811206        6.2051910
  8362.0000        1.5243898       0.74957164        6.2472578
  8364.0100        1.5462970       0.74162130        6.2886266
  8365.9900        1.5696967       0.73434834        6.3303458
  8368.0000        1.6004593       0.72751387        6.3717918
  8370.0100        1.6238382       0.72121357        6.4123573
  8371.9900        1.6469857       0.71551135        6.4532766
  8374.0100        1.6603216       0.71019080        6.4939381
  8375.9900        1.6714038       0.70544443        6.5337453
  8378.0100        1.6762140       0.70106176        6.5741082
  8380.0000        1.6792272       0.69717970        6.6134329
  8381.9900        1.6805187       0.69371164        6.8085728
  8384.0100        1.6811890       0.69059603        6.9986477
  8386.0000        1.6816655       0.68790700        7.1831483
  8387.9900        1.6807649       0.68557717        7.3633828
  8390.0100        1.6796547       0.68356091        7.5391362
  8392.0000        1.6768561       0.68189968        7.7107149
  8394.0000        1.6735100       0.68053678        7.8785579
  8395.9900        1.6675117       0.67946759        8.0432246
  8397.9900        1.6617986       0.67866297        8.2045871
  8399.9900        1.6543974       0.67811056        8.3625235
  8401.9800        1.6478689       0.67779296        8.3625235
  8404.0100        1.6386572       0.67768858        8.5175318
  8406.0100        1.6313938       0.67778399        8.6700712
