# data from ifeffit
#------------------------
#   energy         xmu         bkg         k
  7500.0100        1.2641450       0.70733846E-01    0.0000000
  8000.0100        1.0441090       0.12125638E-01   0.50000000E-01
  8100.0100        1.0009410       0.12431966E-02   0.10000000
  8180.0100       0.97563600       0.17666435E-02   0.15000000
  8219.9900       0.95842900      -0.25325903E-02   0.20000000
  8259.9900       0.94781400      -0.23336685E-03   0.25000000
  8300.0100       0.93612600       0.99931366E-03   0.30000000
  8306.5100       0.93751000       0.44818750E-02   0.35000000
  8306.9900       0.93742800       0.45548456E-02   0.40000000
  8307.4900       0.93765300       0.49412734E-02   0.45000000
  8307.9900       0.93749500       0.49447012E-02   0.50000000
  8308.4900       0.93769600       0.53071290E-02   0.55000000
  8309.0000       0.93777500       0.55507854E-02   0.60000000
  8309.5000       0.93810300       0.60402132E-02   0.65000000
  8310.0000       0.93842100       0.65196410E-02   0.70000000
  8310.5100       0.93864600       0.69092973E-02   0.75000000
  8311.0100       0.93878700       0.72117251E-02   0.80000000
  8311.5100       0.93922400       0.78101529E-02   0.85000000
  8311.9900       0.93912200       0.78631236E-02   0.90000000
  8312.4900       0.93959900       0.85015514E-02   0.95000000
  8312.9900       0.93989600       0.89599792E-02    1.0000000
  8313.5000       0.94012300       0.93516355E-02    1.0500000
  8314.0000       0.94063200       0.10022063E-01    1.1000000
  8314.5100       0.94110800       0.10662720E-01    1.1500000
  8315.0100       0.94227800       0.11994147E-01    1.2000000
  8315.5100       0.94381700       0.13694575E-01    1.2500000
  8315.9900       0.94536600       0.15398546E-01    1.3000000
  8316.4900       0.94866300       0.18856974E-01    1.3500000
  8317.0000       0.95220900       0.22567630E-01    1.4000000
  8317.5000       0.95645900       0.26979058E-01    1.4500000
  8318.0000       0.95861300       0.29294486E-01    1.5000000
  8318.5100       0.95909000       0.29936142E-01    1.5500000
  8319.0100       0.95931900       0.30326570E-01    1.6000000
  8319.4900       0.95796000       0.29122540E-01    1.6500000
  8319.9900       0.95665100       0.27974968E-01    1.7000000
  8320.5000       0.95595800       0.27446625E-01    1.7500000
  8321.0000       0.95643700       0.28087052E-01    1.8000000
  8321.5100       0.95839100       0.30205709E-01    1.8500000
  8322.0100       0.96135000       0.33326137E-01    1.9000000
  8322.4900       0.96611000       0.38241107E-01    1.9500000
  8322.9900       0.97217800       0.44470535E-01    2.0000000
  8323.5000       0.98286600       0.55323191E-01    2.0500000
  8324.0000       0.99646700       0.69085619E-01    2.1000000
  8324.5100        1.0175050       0.90288275E-01    2.1500000
  8325.0100        1.0420250       0.11496970        2.2000000
  8325.4900        1.0747340       0.14783367        2.2500000
  8325.9900        1.1108520       0.18411310        2.3000000
  8326.5000        1.1570510       0.23047676        2.3500000
  8327.0000        1.2042760       0.27786319        2.4000000
  8327.5100        1.2620450       0.33579684        2.4500000
  8328.0100        1.3171940       0.39110727        2.5000000
  8328.4900        1.3807470       0.45481524        2.5500000
  8330.5100        1.6657930       0.80055036        2.6000000
  8330.9900        1.7259820       0.95605706        2.6500000
  8331.4900        1.7940550       0.95131393        2.7000000
  8332.0000        1.8525270       0.94653057        2.7500000
  8332.5100        1.9175690       0.94180209        2.8000000
  8333.0100        1.9649380       0.93721932        2.8500000
  8333.4900        2.0067110       0.93286894        2.9000000
  8334.0000        2.0335330       0.92829907        2.9500000
  8334.5000        2.0514600       0.92387094        3.0000000
  8335.0100        2.0559630       0.91940713        3.0500000
  8335.5100        2.0506300       0.91508241        3.1000000
  8335.9900        2.0394900       0.91097844        3.1500000
  8336.5000        2.0187600       0.90666894        3.2000000
  8337.0000        1.9976860       0.90249466        3.2500000
  8337.5100        1.9704900       0.89828832        3.3000000
  8337.9900        1.9467140       0.89437658        3.3500000
  8338.4900        1.9174940       0.89035023        3.4000000
  8339.0000        1.8916400       0.88629391        3.4500000
  8339.5100        1.8600140       0.88228835        3.5000000
  8339.9900        1.8349640       0.87856451        3.5500000
  8341.0000        1.7896770       0.87087380        3.6000000
  8342.0100        1.7532920       0.86337757        3.6500000
  8344.0100        1.6877030       0.84909825        3.7000000
  8346.0100        1.6570600       0.83555428        3.7500000
  8347.9900        1.6341930       0.82285236        3.8000000
  8349.9900        1.6142660       0.81071792        3.8500000
  8351.9900        1.5831090       0.79926477        3.9000000
  8354.0000        1.5571270       0.78842248        3.9500000
  8356.0000        1.5300270       0.77828080        4.0000000
  8358.0100        1.5172350       0.76872001        4.0500000
  8359.9900        1.5149320       0.75990317        4.1000000
  8362.0000        1.5243900       0.75154496        4.1500000
  8364.0100        1.5462970       0.74376517        4.2000000
  8365.9900        1.5696970       0.73664917        4.2500000
  8368.0000        1.6004590       0.72996318        4.3000000
  8370.0100        1.6238380       0.72380081        4.3500000
  8371.9900        1.6469860       0.71822451        4.4000000
  8374.0100        1.6603220       0.71302259        4.4500000
  8375.9900        1.6714040       0.70838323        4.5000000
  8378.0100        1.6762140       0.70410065        4.5500000
  8380.0000        1.6792270       0.70030859        4.6000000
  8381.9900        1.6805190       0.69692236        4.6500000
  8384.0100        1.6811890       0.69388180        4.7000000
  8386.0000        1.6816650       0.69125920        4.7500000
  8387.9900        1.6807650       0.68898870        4.8000000
  8390.0100        1.6796550       0.68702577        4.8500000
  8392.0000        1.6768560       0.68541067        4.9000000
  8394.0000        1.6735100       0.68408806        4.9500000
  8395.9900        1.6675120       0.68305329        5.0000000
  8397.9900        1.6617990       0.68227795        5.0500000
  8399.9900        1.6543970       0.68174983        5.1000000
  8401.9800        1.6478690       0.68145182        5.1500000
  8404.0100        1.6386570       0.68136309        5.2000000
  8406.0100        1.6313940       0.68147000        5.2500000
  8407.9900        1.6216260       0.68174801        5.3000000
  8409.9900        1.6141170       0.68218478        5.3500000
  8411.9900        1.6057840       0.68276027        5.4000000
  8413.9900        1.5996660       0.68345641        5.4500000
  8416.0000        1.5949930       0.68425931        5.5000000
  8418.0100        1.5918230       0.68514744        5.5500000
  8420.0100        1.5896880       0.68609754        5.6000000
  8421.9900        1.5897620       0.68708561        5.6500000
  8424.0000        1.5912140       0.68811883        5.7000000
  8426.0100        1.5928940       0.68916422        5.7500000
  8427.9900        1.5952500       0.69018803        5.8000000
  8430.0000        1.5972550       0.69120406        5.8500000
  8432.0100        1.5993170       0.69218992        5.9000000
  8434.0000        1.6009970       0.69313638        5.9500000
  8436.0100        1.6023220       0.69406272        6.0000000
  8438.0000        1.6030670       0.69495074        6.0500000
  8440.0200        1.6037690       0.69582280        6.1000000
  8442.0000        1.6044900       0.69664914        6.1500000
  8443.9900        1.6047880       0.69745152        6.2000000
  8446.0100        1.6049430       0.69823741        6.2500000
  8448.0000        1.6048840       0.69898370        6.3000000
