# data from ifeffit
#------------------------
#   k         chi         e0
  0.0000000      -0.77117488E-01    8330.5100
  0.50000000E-01  -0.95181319E-01    8330.5100
  0.10000000      -0.11324515        8330.5100
  0.15000000      -0.13130898        8330.5100
  0.20000000      -0.14937281        8330.5100
  0.25000000      -0.16743664        8330.5100
  0.30000000      -0.18550047        8330.5100
  0.35000000      -0.20356431        8330.5100
  0.40000000      -0.17667852        8330.5100
  0.45000000      -0.14486114        8330.5100
  0.50000000      -0.11304375        8330.5100
  0.55000000      -0.77976868E-01    8330.5100
  0.60000000      -0.42366217E-01    8330.5100
  0.65000000      -0.12389721E-02    8330.5100
  0.70000000       0.45567021E-01    8330.5100
  0.75000000       0.89597665E-01    8330.5100
  0.80000000       0.12968696        8330.5100
  0.85000000       0.17189767        8330.5100
  0.90000000       0.20932659        8330.5100
  0.95000000       0.23746748        8330.5100
  1.0000000       0.26189043        8330.5100
  1.0500000       0.27780270        8330.5100
  1.1000000       0.28368262        8330.5100
  1.1500000       0.28147088        8330.5100
  1.2000000       0.27250865        8330.5100
  1.2500000       0.25286014        8330.5100
  1.3000000       0.23143351        8330.5100
  1.3500000       0.20199201        8330.5100
  1.4000000       0.17315772        8330.5100
  1.4500000       0.13747886        8330.5100
  1.5000000       0.10469106        8330.5100
  1.5500000       0.64507070E-01    8330.5100
  1.6000000       0.31271122E-01    8330.5100
  1.6500000       0.15517763E-02    8330.5100
  1.7000000      -0.24080349E-01    8330.5100
  1.7500000      -0.57291232E-01    8330.5100
  1.8000000      -0.11772418        8330.5100
  1.8500000      -0.13880044        8330.5100
  1.9000000      -0.10762107        8330.5100
  1.9500000      -0.73909750E-01    8330.5100
  2.0000000      -0.11304732        8330.5100
  2.0500000      -0.13463691        8330.5100
  2.1000000      -0.13969893        8330.5100
  2.1500000      -0.14379981        8330.5100
  2.2000000      -0.14697325        8330.5100
  2.2500000      -0.15148400        8330.5100
  2.3000000      -0.16082771        8330.5100
  2.3500000      -0.17244096        8330.5100
  2.4000000      -0.18280171        8330.5100
  2.4500000      -0.19155065        8330.5100
  2.5000000      -0.20133581        8330.5100
  2.5500000      -0.21244859        8330.5100
  2.6000000      -0.22046609        8330.5100
  2.6500000      -0.22304096        8330.5100
  2.7000000      -0.22202390        8330.5100
  2.7500000      -0.21779212        8330.5100
  2.8000000      -0.20949912        8330.5100
  2.8500000      -0.19671084        8330.5100
  2.9000000      -0.17843661        8330.5100
  2.9500000      -0.15567069        8330.5100
  3.0000000      -0.13242748        8330.5100
  3.0500000      -0.10782056        8330.5100
  3.1000000      -0.78225763E-01    8330.5100
  3.1500000      -0.49734005E-01    8330.5100
  3.2000000      -0.25647680E-01    8330.5100
  3.2500000      -0.92478487E-03    8330.5100
  3.3000000       0.22759790E-01    8330.5100
  3.3500000       0.39639600E-01    8330.5100
  3.4000000       0.54587610E-01    8330.5100
  3.4500000       0.68530858E-01    8330.5100
  3.5000000       0.78080156E-01    8330.5100
  3.5500000       0.85503445E-01    8330.5100
  3.6000000       0.92063735E-01    8330.5100
  3.6500000       0.97268992E-01    8330.5100
  3.7000000       0.10165711        8330.5100
  3.7500000       0.10558984        8330.5100
  3.8000000       0.10929768        8330.5100
  3.8500000       0.11182168        8330.5100
  3.9000000       0.11358540        8330.5100
  3.9500000       0.11494025        8330.5100
  4.0000000       0.11459942        8330.5100
  4.0500000       0.11363446        8330.5100
  4.1000000       0.11100454        8330.5100
  4.1500000       0.10628325        8330.5100
  4.2000000       0.10180817        8330.5100
  4.2500000       0.95470157E-01    8330.5100
  4.3000000       0.89228728E-01    8330.5100
  4.3500000       0.81882797E-01    8330.5100
  4.4000000       0.72822993E-01    8330.5100
  4.4500000       0.65302993E-01    8330.5100
  4.5000000       0.54586057E-01    8330.5100
  4.5500000       0.45723086E-01    8330.5100
  4.6000000       0.36483627E-01    8330.5100
  4.6500000       0.27891424E-01    8330.5100
  4.7000000       0.21286895E-01    8330.5100
  4.7500000       0.16044517E-01    8330.5100
  4.8000000       0.12150509E-01    8330.5100
  4.8500000       0.93861002E-02    8330.5100
  4.9000000       0.91053806E-02    8330.5100
  4.9500000       0.10394683E-01    8330.5100
  5.0000000       0.11962322E-01    8330.5100
  5.0500000       0.14402630E-01    8330.5100
  5.1000000       0.16577216E-01    8330.5100
  5.1500000       0.18783117E-01    8330.5100
  5.2000000       0.20706971E-01    8330.5100
  5.2500000       0.22201324E-01    8330.5100
  5.3000000       0.23011188E-01    8330.5100
  5.3500000       0.23624976E-01    8330.5100
  5.4000000       0.24360453E-01    8330.5100
  5.4500000       0.24647221E-01    8330.5100
  5.5000000       0.24687982E-01    8330.5100
  5.5500000       0.24465302E-01    8330.5100
  5.6000000       0.24742321E-01    8330.5100
  5.6500000       0.25348232E-01    8330.5100
  5.7000000       0.25872829E-01    8330.5100
  5.7500000       0.26518049E-01    8330.5100
  5.8000000       0.27429922E-01    8330.5100
  5.8500000       0.28039045E-01    8330.5100
  5.9000000       0.28556060E-01    8330.5100
  5.9500000       0.28870354E-01    8330.5100
  6.0000000       0.28809100E-01    8330.5100
  6.0500000       0.27849983E-01    8330.5100
  6.1000000       0.26265161E-01    8330.5100
  6.1500000       0.24134065E-01    8330.5100
  6.2000000       0.21183810E-01    8330.5100
  6.2500000       0.17889036E-01    8330.5100
