# data from ifeffit
#------------------------
#   k         chi         dchi         e0
  0.71652300E-01  -0.14225755E-01   0.81692937E-03    20006.008
  0.36983496       0.34031942E-02   0.69620215E-03    20006.008
  0.51853727       0.17505464E-01   0.58239404E-03    20006.008
  0.63288090       0.25881597E-01   0.52195753E-03    20006.008
  0.72983203       0.31558533E-01   0.45194572E-03    20006.008
  0.81478411       0.32342690E-01   0.37119779E-03    20006.008
  0.89193649       0.28497739E-01   0.33936192E-03    20006.008
  0.96316537       0.22102580E-01   0.57082230E-03    20006.008
  1.0292612       0.12737100E-01   0.53772873E-03    20006.008
  1.0913645      -0.74613539E-03   0.55160339E-03    20006.008
  1.1501221      -0.16338825E-01   0.44100162E-03    20006.008
  1.2007575      -0.30776640E-01   0.32440283E-03    20006.008
  1.2544067      -0.43659202E-01   0.21542794E-03    20006.008
  1.3060294      -0.56569743E-01   0.69313070E-03    20006.008
  1.7391619      -0.40368870E-01   0.61250573E-03    20006.008
  1.7765217      -0.33952520E-01   0.46141461E-03    20006.008
  1.8133636      -0.28252885E-01   0.42881297E-03    20006.008
  1.8493511      -0.24981411E-01   0.41323089E-03    20006.008
  1.8811649      -0.22430194E-01   0.38639256E-03    20006.008
  1.9160008      -0.20935874E-01   0.36022869E-03    20006.008
  1.9499840      -0.20079082E-01   0.34023003E-03    20006.008
  1.9836151      -0.20531350E-01   0.31845333E-03    20006.008
  2.0165748      -0.21370837E-01   0.28921310E-03    20006.008
  2.0491166      -0.21962033E-01   0.25432960E-03    20006.008
  2.0810424      -0.22230862E-01   0.59790258E-03    20006.008
  2.1124873      -0.24511981E-01   0.86250434E-03    20006.008
  2.1434726      -0.24479529E-01   0.81723806E-03    20006.008
  2.1741220      -0.24277325E-01   0.76264977E-03    20006.008
  2.2042441      -0.23311759E-01   0.71785571E-03    20006.008
  2.2339616      -0.21530599E-01   0.65652457E-03    20006.008
  2.2632905      -0.18988332E-01   0.59595215E-03    20006.008
  2.2923444      -0.15053103E-01   0.54257796E-03    20006.008
  2.3181047      -0.10690616E-01   0.46099369E-03    20006.008
  2.3463861      -0.48562757E-02   0.35006631E-03    20006.008
  2.3744277       0.17796410E-02   0.38123802E-03    20006.008
  2.4019546       0.60773230E-02   0.50059312E-03    20006.008
