# data from ifeffit
#------------------------
#   k         chi         dchi
  0.51177812E-01   0.10609861       0.46220368E-03
  0.35824469       0.15620266       0.35055073E-03
  0.51177812       0.19101052       0.41204700E-03
  0.62679763       0.21636413       0.57899977E-03
  0.72557072       0.22744354       0.24477671E-03
  0.81080903       0.22770781       0.41100941E-03
  0.88494710       0.22129881       0.56560010E-03
  0.95744920       0.20456094       0.39680399E-03
  1.0235562       0.18709346       0.41868664E-03
  1.0868509       0.16270070       0.39911239E-03
  1.1432257       0.14150064       0.36819823E-03
  1.1991345       0.11415723       0.27699766E-03
  1.2535953       0.90395372E-01   0.32638167E-03
  1.3057866       0.59811883E-01   0.43353866E-03
  1.3530701       0.36075328E-01   0.57158036E-03
  1.4475271      -0.61968706E-02   0.45919688E-03
  1.5361871      -0.39150525E-01   0.33157966E-03
  1.6981474      -0.99157873E-01   0.37836845E-03
  1.6981474      -0.97115694E-01   0.40390776E-03
  1.8459518      -0.12018249       0.36058514E-03
  1.9814473      -0.13336381       0.42681390E-03
  2.1094945      -0.14394011       0.42259474E-03
  2.2302020      -0.16964798       0.40681464E-03
  2.3452620      -0.19018006       0.36945573E-03
  2.4544017      -0.21346571       0.31679751E-03
  2.5594023      -0.21931453       0.57116736E-03
  2.6587846      -0.21226619       0.35115785E-03
  2.7560095      -0.18984226       0.51817195E-03
  2.8499196      -0.15077756       0.47004178E-03
  2.9394960      -0.10966667       0.61054404E-03
  3.0277202      -0.58161762E-01   0.53984401E-03
  3.1134454      -0.16654338E-01   0.45544484E-03
  3.1956436       0.24391122E-01   0.49555748E-03
  3.2773785       0.51725024E-01   0.54153757E-03
  3.3555633       0.75380693E-01   0.58963681E-03
  3.4334935       0.89857752E-01   0.60848848E-03
  3.5085741       0.10113302       0.36993045E-03
  3.5820813       0.10938864       0.44176280E-03
  3.6551851       0.11627083       0.45692994E-03
  3.7258010       0.12222361       0.46810252E-03
  3.7951031       0.12562339       0.39378353E-03
  3.8641790       0.12823537       0.63524844E-03
  3.9310424       0.12778426       0.50669183E-03
  3.9971149       0.12603685       0.41614797E-03
  4.0617905       0.11988857       0.38746955E-03
  4.1257697       0.11371154       0.48748203E-03
  4.1887719       0.10461854       0.50853506E-03
  4.2505322       0.96414036E-01   0.49806802E-03
  4.3126228       0.83918492E-01   0.40257872E-03
  4.3729337       0.73964115E-01   0.40294254E-03
  4.4318331       0.60035240E-01   0.45245950E-03
  4.4905432       0.49206832E-01   0.37484637E-03
  4.5484956       0.36962440E-01   0.55511199E-03
  4.6057188       0.27812110E-01   0.53065230E-03
  4.6625206       0.20644322E-01   0.50420891E-03
  4.7186387       0.15570349E-01   0.44819938E-03
  4.7738229       0.11928805E-01   0.29147332E-03
  4.8278339       0.11462878E-01   0.58458597E-03
  4.8820521       0.12956431E-01   0.57027783E-03
  4.9356748       0.14760997E-01   0.44946127E-03
  4.9879336       0.17562515E-01   0.42156825E-03
  5.0404300       0.19871705E-01   0.37073393E-03
  5.0923852       0.22301625E-01   0.33648223E-03
  5.1433065       0.24221685E-01   0.57080607E-03
  5.1942328       0.25662121E-01   0.32118502E-03
  5.2441652       0.26308409E-01   0.32502617E-03
  5.2943688       0.26928054E-01   0.46427416E-03
  5.3431205       0.27625578E-01   0.44742763E-03
  5.3916742       0.27752763E-01   0.56269702E-03
  5.4405168       0.27711530E-01   0.47586428E-03
  5.4882090       0.27408323E-01   0.49249777E-03
  5.5354902       0.27653703E-01   0.25664255E-03
  5.5830748       0.28213132E-01   0.39657832E-03
  5.6297920       0.28689508E-01   0.41097143E-03
  5.6758940       0.29163565E-01   0.52876414E-03
  5.7218534       0.30102629E-01   0.39115005E-03
  5.7672195       0.30614445E-01   0.52587725E-03
  5.8124568       0.31171038E-01   0.36716551E-03
  5.8573448       0.31515191E-01   0.43205193E-03
  5.9018914       0.31691231E-01   0.52274029E-03
  5.9461042       0.31467660E-01   0.34163603E-03
  5.9899907       0.30445513E-01   0.46254009E-03
  6.0335580       0.28910331E-01   0.28799549E-03
  6.0768130       0.27267847E-01   0.60934884E-03
  6.1199762       0.24253248E-01   0.29048240E-03
  6.1626247       0.22081446E-01   0.53741582E-03
  6.2051910       0.18311902E-01   0.44272785E-03
  6.2472578       0.15412852E-01   0.53651189E-03
  6.2886266       0.11879628E-01   0.40193225E-03
  6.3303458       0.92084360E-02   0.40142715E-03
  6.3717918       0.60647827E-02   0.59927624E-03
  6.4123573       0.31997562E-02   0.51821170E-03
  6.4532766       0.10007765E-03   0.45662935E-03
  6.4939381      -0.16123870E-02   0.43563881E-03
  6.5337453      -0.40532841E-02   0.57518023E-03
  6.5741082      -0.61748622E-02   0.47983155E-03
  6.6134329      -0.12625704E-01   0.55354978E-03
  6.8085728      -0.19802903E-01   0.36429865E-03
  6.9986477      -0.25242468E-01   0.46208747E-03
  7.1831483      -0.24372259E-01   0.45142392E-03
  7.3633828      -0.23703046E-01   0.60237246E-03
  7.5391362      -0.20594090E-01   0.33405516E-03
  7.7107149      -0.20998908E-01   0.31645860E-03
  7.8785579      -0.20569684E-01   0.60280957E-03
  8.0432246      -0.23389803E-01   0.45188052E-03
  8.2045871      -0.21818171E-01   0.39130885E-03
  8.3625235      -0.26125550E-01   0.51631688E-03
  8.3625235      -0.22757450E-01   0.45157955E-03
  8.5175318      -0.24282958E-01   0.36672994E-03
  8.6700712      -0.25638045E-01   0.39651428E-03
  8.8198245      -0.23541074E-01   0.42102578E-03
  8.9670771      -0.23447743E-01   0.38614591E-03
  9.1118067      -0.19301983E-01   0.43264314E-03
  9.2545561      -0.17695437E-01   0.47860766E-03
  9.3949975      -0.13613111E-01   0.41377238E-03
  9.5332328      -0.11020647E-01   0.38499775E-03
  9.6698983      -0.63514623E-02   0.36518430E-03
  9.8039913      -0.53121203E-02   0.58390910E-03
  9.9366701      -0.17190239E-02   0.51033268E-03
  10.067991      -0.11459404E-02   0.38722558E-03
  10.196978       0.21901119E-02   0.32779710E-03
  10.324608       0.20836405E-02   0.43215949E-03
  10.450680       0.50096286E-02   0.61044914E-03
  10.575496       0.55627922E-02   0.48836522E-03
  10.698244       0.85634016E-02   0.39025877E-03
  10.819963       0.91477642E-02   0.45695953E-03
  10.940686       0.99715850E-02   0.33009297E-03
  10.940686       0.13691151E-01   0.59681763E-03
  11.059500       0.12322643E-01   0.58009426E-03
  11.177286       0.14757815E-01   0.45134945E-03
  11.293727       0.14606442E-01   0.46475355E-03
  11.409324       0.16674173E-01   0.42294608E-03
  11.523648       0.16142776E-01   0.51360127E-03
  11.636624       0.18232030E-01   0.52017016E-03
  11.748513       0.16954320E-01   0.58790090E-03
  11.859568       0.17907076E-01   0.50084048E-03
  11.969483       0.16774516E-01   0.50707375E-03
  12.078614       0.18051260E-01   0.49117068E-03
  12.186231       0.15987573E-01   0.62710256E-03
  12.293226       0.16885030E-01   0.44043320E-03
  12.399508       0.15168364E-01   0.55739001E-03
  12.504469       0.16187841E-01   0.58873087E-03
  12.608763       0.13779077E-01   0.56621497E-03
  12.712408       0.14797304E-01   0.54877477E-03
  12.814806       0.12632369E-01   0.47241921E-03
  12.916594       0.12980231E-01   0.46684893E-03
  13.017789       0.12873003E-01   0.52833684E-03
  13.117803       0.14028813E-01   0.57914178E-03
  13.217258       0.94403028E-02   0.62982410E-03
  13.414250       0.10651432E-01   0.65330401E-03
  13.607910       0.48136162E-02   0.51711430E-03
  13.799042       0.57332258E-02   0.64636667E-03
  13.987468       0.76096954E-04   0.60103392E-03
  14.173482       0.84461364E-03   0.45712857E-03
  14.357360      -0.44086332E-02   0.57038049E-03
  14.538373      -0.32466209E-02   0.48805977E-03
  14.717603      -0.79707210E-02   0.45674741E-03
  14.894590      -0.70115577E-02   0.49543365E-03
  15.069237      -0.10696088E-01   0.69536486E-03
  15.242055      -0.90678431E-02   0.40726514E-03
  15.412766      -0.11351177E-01   0.43488032E-03
  15.582110      -0.89856338E-02   0.50769828E-03
  15.749052      -0.11454206E-01   0.62550117E-03
  15.914654      -0.90051261E-02   0.72051679E-03
  17.483123       0.85796497E-03   0.75495686E-03
  18.921954       0.12166843E-01   0.89879116E-03
  20.258981      -0.24491187E-01   0.14725558E-02
