# ee               mu       mu_err       
  8039.1500        13.400000      0.15800  
  8078.9300        11.300000      0.20100  
  8119.1300        11.800000      0.10100  
  8159.1700        11.400000      0.17500  
  8199.0900        12.000000      0.10600  
  8278.6500        11.100000      0.08970  
  8283.6300        11.000000      0.14700  
  8288.7500        11.400000      0.08550  
  8293.8700        11.000000      0.14300  
  8298.7600        11.300000      0.09120  
  8303.6500        12.000000      0.06250  
  8308.4300        12.000000      0.09940  
  8309.3800        12.200000      0.08530  
  8310.3200        12.000000      0.09170  
  8311.3400        12.300000      0.09270  
  8312.3400        12.200000      0.10000  
  8313.4600        12.600000      0.09350  
  8314.4600        12.500000      0.08910  
  8315.4100        12.600000      0.08510  
  8316.4200        12.600000      0.09430  
  8317.4900        12.700000      0.08840  
  8318.4900        12.900000      0.08670  
  8319.0200        13.200000      0.09190  
  8319.6200        13.300000      0.08050  
  8320.0900        13.200000      0.09640  
  8320.6200        13.100000      0.10300  
  8321.0900        13.000000      0.10000  
  8321.5800        13.200000      0.14100  
  8322.0500        13.500000      0.09280  
  8322.5800        13.300000      0.11000  
  8323.1200        13.300000      0.09930  
  8323.5900        13.200000      0.09880  
  8324.1200        13.100000      0.09020  
  8324.6500        13.100000      0.09460  
  8325.1300        12.800000      0.09120  
  8325.6600        12.700000      0.10200  
  8326.1500        13.000000      0.08680  
  8326.6200        13.300000      0.08420  
  8327.1500        13.000000      0.08630  
  8327.5700        12.800000      0.09240  
  8328.0400        12.700000      0.09070  
  8328.5700        12.600000      0.09680  
  8329.0500        12.900000      0.08530  
  8329.5200        12.700000      0.09040  
  8330.0000        12.800000      0.12400  
  8330.4700        12.900000      0.10300  
  8331.0700        13.000000      0.09390  
  8331.5500        13.100000      0.09430  
  8331.9600        13.000000      0.08710  
  8332.5000        13.200000      0.08710  
  8332.9100        13.300000      0.08480  
  8333.4500        13.500000      0.08150  
  8333.8600        13.700000      0.09830  
  8334.3400        13.800000      0.08830  
  8334.8700        13.800000      0.10200  
  8335.2900        14.000000      0.08790  
  8335.8200        14.100000      0.08550  
  8336.3000        14.086800      0.08500  
  8336.8400        14.204200      0.10174  
  8337.3800        14.400600      0.08887  
  8337.8500        14.802200      0.09260  
  8338.3300        15.406300      0.08854  
  8338.8000        15.884400      0.09244  
  8339.2800        16.574600      0.08388  
  8339.7500        17.188600      0.08504  
  8340.2300        17.907200      0.08816  
  8340.7600        18.830300      0.09636  
  8341.3000        20.080200      0.08594  
  8341.7200        20.974600      0.08793  
  8342.2600        22.359100      0.08694  
  8342.8500        24.173900      0.09782  
  8343.3900        26.662500      0.08653  
  8343.8600        28.682200      0.08802  
  8344.4000        31.842400      0.09453  
  8344.8800        34.692100      0.08344  
  8345.3500        38.611500      0.09300  
  8345.8300        42.396800      0.07978  
  8346.4200        47.080400      0.09290  
  8346.9100        51.304100      0.09318  
  8347.4400        56.380500      0.09623  
  8348.5200        70.439500      0.09183  
  8350.6000        76.034000      0.09447  
  8352.6400        75.024800      0.09165  
  8354.6700        72.420500      0.09350  
  8356.7000        68.011900      0.08484  
  8358.6100        64.605300      0.10246  
  8360.5900        61.363400      0.09213  
  8362.5700        58.779700      0.08278  
  8364.3600        55.966100      0.09134  
  8366.3900        54.239500      0.09036  
  8368.3800        52.188400      0.08362  
  8370.2900        50.603200      0.09351  
  8372.3400        48.669600      0.08722  
  8374.3800        47.856300      0.10104  
  8376.4200        47.243800      0.09760  
  8378.5300        47.805700      0.13342  
  8380.5700        49.154000      0.08614  
  8382.6200        51.106800      0.09306  
  8384.6600        52.916200      0.09317  
  8386.6400        54.297000      0.10600  
  8388.5800        56.069400      0.09167  
  8390.5600        56.997900      0.09239  
  8392.5600        58.066100      0.07698  
  8394.4300        58.503900      0.14240  
  8396.3500        59.009600      0.15397  
  8398.3500        59.741200      0.08869  
  8400.3400        59.719500      0.10376  
  8402.3300        60.330100      0.09259  
  8404.4000        59.678800      0.11127  
  8406.4500        59.647100      0.08405  
  8408.5100        58.447900      0.16121  
  8410.6300        58.269600      0.11990  
  8412.6400        57.218100      0.12479  
  8414.6900        56.599300      0.10212  
  8416.6900        56.181600      0.10643  
  8418.5800        56.048100      0.11516  
  8420.5800        55.963800      0.08623  
  8422.5300        55.639200      0.11665  
  8424.3500        55.235500      0.09005  
  8426.3500        55.302500      0.10110  
  8428.3700        55.109600      0.08547  
  8430.2500        55.028200      0.07752  
  8432.2600        54.650900      0.20672  
  8434.3900        54.335200      0.08800  
  8436.3400        54.276100      0.08498  
  8438.5400        53.912700      0.08472  
  8440.6100        53.791000      0.08954  
  8442.5700        53.999100      0.09084  
  8444.6500        54.208600      0.07985  
  8446.7200        54.339500      0.09184  
  8448.6200        54.392300      0.07987  
  8450.5700        54.606400      0.08508  
  8452.5900        54.861600      0.10519  
  8454.4900        54.946200      0.17243  
  8456.3900        54.541000      0.08799  
  8458.4800        54.688900      0.08537  
  8460.3800        54.748300      0.09447  
  8462.4000        54.544700      0.08990  
  8464.4900        54.802700      0.08538  
  8466.4500        54.707600      0.07205  
  8468.8500        54.750800      0.09162  
  8479.0700        54.500200      0.08165  
  8488.8800        54.432600      0.08186  
  8498.8800        54.537800      0.14532  
  8509.1200        53.209300      0.12439  
  8518.9300        52.536400      0.07812  
  8528.9600        51.844700      0.11439  
  8539.2600        51.910500      0.07920  
  8548.9600        51.364000      0.07992  
  8559.0000        51.844200      0.05827  
  8569.3100        51.806010      0.11354  
