 name:     copper                                                 Feff 8.10
 formula:  Cu
 sites:    Cu1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, fcc
 Abs   Z=29 Rmt= 1.407 Rnm= 1.452 K  shell
 Pot 1 Z=29 Rmt= 1.353 Rnm= 1.390
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.603E+00 kf=1.992E+00 Vint=-1.688E+01 Rs_int= 1.821
 S02  1.000                                        Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    0/   0 paths used
 -----------------------------------------------------------------------
      k          chi          mag           phase @#
     0.0000    0.000000E+00  0.000000E+00  0.000000E+00
     0.0500    0.000000E+00  0.000000E+00  0.000000E+00
     0.1000    0.000000E+00  0.000000E+00  0.000000E+00
     0.1500    0.000000E+00  0.000000E+00  0.000000E+00
     0.2000    0.000000E+00  0.000000E+00  0.000000E+00
     0.2500    0.000000E+00  0.000000E+00  0.000000E+00
     0.3000    0.000000E+00  0.000000E+00  0.000000E+00
     0.3500    0.000000E+00  0.000000E+00  0.000000E+00
     0.4000    0.000000E+00  0.000000E+00  0.000000E+00
     0.4500    0.000000E+00  0.000000E+00  0.000000E+00
     0.5000    0.000000E+00  0.000000E+00  0.000000E+00
     0.5500    0.000000E+00  0.000000E+00  0.000000E+00
     0.6000    0.000000E+00  0.000000E+00  0.000000E+00
     0.6500    0.000000E+00  0.000000E+00  0.000000E+00
     0.7000    0.000000E+00  0.000000E+00  0.000000E+00
     0.7500    0.000000E+00  0.000000E+00  0.000000E+00
     0.8000    0.000000E+00  0.000000E+00  0.000000E+00
     0.8500    0.000000E+00  0.000000E+00  0.000000E+00
     0.9000    0.000000E+00  0.000000E+00  0.000000E+00
     0.9500    0.000000E+00  0.000000E+00  0.000000E+00
     1.0000    0.000000E+00  0.000000E+00  0.000000E+00
     1.0500    0.000000E+00  0.000000E+00  0.000000E+00
     1.1000    0.000000E+00  0.000000E+00  0.000000E+00
     1.1500    0.000000E+00  0.000000E+00  0.000000E+00
     1.2000    0.000000E+00  0.000000E+00  0.000000E+00
     1.2500    0.000000E+00  0.000000E+00  0.000000E+00
     1.3000    0.000000E+00  0.000000E+00  0.000000E+00
     1.3500    0.000000E+00  0.000000E+00  0.000000E+00
     1.4000    0.000000E+00  0.000000E+00  0.000000E+00
     1.4500    0.000000E+00  0.000000E+00  0.000000E+00
     1.5000    0.000000E+00  0.000000E+00  0.000000E+00
     1.5500    0.000000E+00  0.000000E+00  0.000000E+00
     1.6000    0.000000E+00  0.000000E+00  0.000000E+00
     1.6500    0.000000E+00  0.000000E+00  0.000000E+00
     1.7000    0.000000E+00  0.000000E+00  0.000000E+00
     1.7500    0.000000E+00  0.000000E+00  0.000000E+00
     1.8000    0.000000E+00  0.000000E+00  0.000000E+00
     1.8500    0.000000E+00  0.000000E+00  0.000000E+00
     1.9000    0.000000E+00  0.000000E+00  0.000000E+00
     1.9500    0.000000E+00  0.000000E+00  0.000000E+00
     2.0000    0.000000E+00  0.000000E+00  0.000000E+00
     2.0500    0.000000E+00  0.000000E+00  0.000000E+00
     2.1000    0.000000E+00  0.000000E+00  0.000000E+00
     2.1500    0.000000E+00  0.000000E+00  0.000000E+00
     2.2000    0.000000E+00  0.000000E+00  0.000000E+00
     2.2500    0.000000E+00  0.000000E+00  0.000000E+00
     2.3000    0.000000E+00  0.000000E+00  0.000000E+00
     2.3500    0.000000E+00  0.000000E+00  0.000000E+00
     2.4000    0.000000E+00  0.000000E+00  0.000000E+00
     2.4500    0.000000E+00  0.000000E+00  0.000000E+00
     2.5000    0.000000E+00  0.000000E+00  0.000000E+00
     2.5500    0.000000E+00  0.000000E+00  0.000000E+00
     2.6000    0.000000E+00  0.000000E+00  0.000000E+00
     2.6500    0.000000E+00  0.000000E+00  0.000000E+00
     2.7000    0.000000E+00  0.000000E+00  0.000000E+00
     2.7500    0.000000E+00  0.000000E+00  0.000000E+00
     2.8000    0.000000E+00  0.000000E+00  0.000000E+00
     2.8500    0.000000E+00  0.000000E+00  0.000000E+00
     2.9000    0.000000E+00  0.000000E+00  0.000000E+00
     2.9500    0.000000E+00  0.000000E+00  0.000000E+00
     3.0000    0.000000E+00  0.000000E+00  0.000000E+00
     3.0500    0.000000E+00  0.000000E+00  0.000000E+00
     3.1000    0.000000E+00  0.000000E+00  0.000000E+00
     3.1500    0.000000E+00  0.000000E+00  0.000000E+00
